"subscription_id","customer_id","plan_id","status","billing_cycle","start_date","end_date","mrr_usd","discount_pct","trial_end_date","cancellation_reason","created_at"
1,1,1,"cancelled","annual","2023-01-31","2023-04-20",0.00,15.00,NULL,"Missing features","2026-04-24 22:09:13.186774"
2,1,5,"cancelled","annual","2023-04-20","2024-02-26",44.25,10.00,NULL,"Switched competitor","2026-04-24 22:09:13.186774"
3,2,1,"paused","monthly","2023-06-09",NULL,0.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
4,3,1,"active","annual","2023-10-28",NULL,0.00,20.00,NULL,NULL,"2026-04-24 22:09:13.186774"
5,4,1,"expired","annual","2024-04-09","2024-08-10",0.00,15.00,NULL,"Budget cuts","2026-04-24 22:09:13.186774"
6,4,6,"active","annual","2024-08-10",NULL,82.50,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
7,5,1,"cancelled","monthly","2023-10-04","2024-10-01",0.00,10.00,NULL,"Missing features","2026-04-24 22:09:13.186774"
8,5,3,"active","annual","2024-10-01",NULL,15.83,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
9,6,1,"paused","monthly","2025-08-23",NULL,0.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
10,7,1,"active","annual","2024-08-21",NULL,0.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
11,8,1,"active","monthly","2024-04-24",NULL,0.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
12,9,1,"active","annual","2025-06-15",NULL,0.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
13,10,5,"active","monthly","2025-03-08",NULL,59.00,0.00,"2025-03-22",NULL,"2026-04-24 22:09:13.186774"
14,11,2,"active","annual","2024-06-29",NULL,7.50,25.00,"2024-07-13",NULL,"2026-04-24 22:09:13.186774"
15,12,6,"active","monthly","2024-10-27",NULL,99.00,0.00,"2024-11-10",NULL,"2026-04-24 22:09:13.186774"
16,13,1,"cancelled","monthly","2025-07-16","2025-09-16",0.00,0.00,NULL,"Switched competitor","2026-04-24 22:09:13.186774"
17,14,1,"cancelled","annual","2024-02-25","2025-01-03",0.00,0.00,NULL,"Too expensive","2026-04-24 22:09:13.186774"
18,14,5,"cancelled","monthly","2025-01-03","2025-05-17",59.00,0.00,NULL,"Missing features","2026-04-24 22:09:13.186774"
19,14,6,"active","annual","2025-05-17",NULL,74.25,10.00,NULL,NULL,"2026-04-24 22:09:13.186774"
20,15,2,"active","monthly","2024-04-18",NULL,12.00,0.00,"2024-05-02",NULL,"2026-04-24 22:09:13.186774"
21,16,2,"active","annual","2023-06-18",NULL,10.00,0.00,"2023-07-02",NULL,"2026-04-24 22:09:13.186774"
22,17,2,"cancelled","monthly","2024-08-16","2024-12-16",10.20,15.00,"2024-08-30","Missing features","2026-04-24 22:09:13.186774"
23,17,5,"cancelled","annual","2024-12-16","2025-04-02",49.17,0.00,NULL,"Not using it","2026-04-24 22:09:13.186774"
24,17,2,"active","monthly","2025-04-02",NULL,9.60,20.00,NULL,NULL,"2026-04-24 22:09:13.186774"
25,18,4,"active","monthly","2025-06-01",NULL,39.00,0.00,"2025-06-15",NULL,"2026-04-24 22:09:13.186774"
26,19,3,"expired","annual","2024-02-10","2025-01-26",15.83,0.00,"2024-02-24","Missing features","2026-04-24 22:09:13.186774"
27,19,4,"cancelled","annual","2025-01-26","2025-07-25",32.50,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
28,20,6,"active","annual","2025-06-19",NULL,82.50,0.00,"2025-07-03",NULL,"2026-04-24 22:09:13.186774"
29,21,4,"active","monthly","2023-04-20",NULL,39.00,0.00,"2023-05-04",NULL,"2026-04-24 22:09:13.186774"
30,22,5,"active","annual","2023-12-08",NULL,49.17,0.00,"2023-12-22",NULL,"2026-04-24 22:09:13.186774"
31,23,6,"cancelled","annual","2025-05-04","2025-09-11",82.50,0.00,"2025-05-18","Not using it","2026-04-24 22:09:13.186774"
32,23,1,"cancelled","monthly","2025-09-11","2025-11-10",0.00,0.00,NULL,"Not using it","2026-04-24 22:09:13.186774"
33,23,3,"active","annual","2025-11-10",NULL,15.83,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
34,24,3,"active","annual","2025-06-24",NULL,15.83,0.00,"2025-07-08",NULL,"2026-04-24 22:09:13.186774"
35,25,1,"active","monthly","2025-06-03",NULL,0.00,25.00,NULL,NULL,"2026-04-24 22:09:13.186774"
36,26,4,"cancelled","monthly","2023-07-17","2023-12-01",33.15,15.00,"2023-07-31","Too expensive","2026-04-24 22:09:13.186774"
37,26,6,"active","monthly","2023-12-01",NULL,99.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
38,27,1,"cancelled","monthly","2023-09-29","2024-04-14",0.00,0.00,NULL,"Switched competitor","2026-04-24 22:09:13.186774"
39,27,3,"expired","monthly","2024-04-14","2024-09-22",19.00,0.00,NULL,"Not using it","2026-04-24 22:09:13.186774"
40,27,4,"cancelled","annual","2024-09-22","2025-02-03",32.50,0.00,NULL,"Switched competitor","2026-04-24 22:09:13.186774"
41,28,3,"cancelled","monthly","2023-03-13","2024-01-12",14.25,25.00,"2023-03-27",NULL,"2026-04-24 22:09:13.186774"
42,28,3,"active","monthly","2024-01-12",NULL,19.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
43,29,2,"expired","annual","2024-03-06","2024-12-20",10.00,0.00,"2024-03-20","Missing features","2026-04-24 22:09:13.186774"
44,29,3,"expired","monthly","2024-12-20","2025-06-05",19.00,0.00,NULL,"Company reorganization","2026-04-24 22:09:13.186774"
45,29,5,"active","annual","2025-06-05",NULL,49.17,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
46,30,2,"active","monthly","2024-04-21",NULL,12.00,0.00,"2024-05-05",NULL,"2026-04-24 22:09:13.186774"
47,31,4,"active","monthly","2023-08-19",NULL,39.00,0.00,"2023-09-02",NULL,"2026-04-24 22:09:13.186774"
48,32,3,"active","annual","2025-05-31",NULL,15.83,0.00,"2025-06-14",NULL,"2026-04-24 22:09:13.186774"
49,33,5,"active","monthly","2025-08-30",NULL,59.00,0.00,"2025-09-13",NULL,"2026-04-24 22:09:13.186774"
50,34,3,"cancelled","monthly","2024-06-17","2025-02-04",19.00,0.00,"2024-07-01","Missing features","2026-04-24 22:09:13.186774"
51,34,4,"active","monthly","2025-02-04",NULL,33.15,15.00,NULL,NULL,"2026-04-24 22:09:13.186774"
52,35,2,"active","annual","2024-02-22",NULL,10.00,0.00,"2024-03-07",NULL,"2026-04-24 22:09:13.186774"
53,36,5,"active","monthly","2025-09-03",NULL,59.00,0.00,"2025-09-17",NULL,"2026-04-24 22:09:13.186774"
54,37,3,"cancelled","annual","2025-10-01","2025-12-01",15.83,0.00,"2025-10-15","Switched competitor","2026-04-24 22:09:13.186774"
55,37,4,"active","monthly","2025-12-01",NULL,39.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
56,38,2,"expired","monthly","2025-06-19","2025-09-16",12.00,0.00,"2025-07-03","Company reorganization","2026-04-24 22:09:13.186774"
57,38,6,"active","annual","2025-09-16",NULL,82.50,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
58,39,1,"active","monthly","2025-08-30",NULL,0.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
59,40,2,"active","annual","2025-02-04",NULL,10.00,0.00,"2025-02-18",NULL,"2026-04-24 22:09:13.186774"
60,41,2,"active","monthly","2025-04-30",NULL,12.00,0.00,"2025-05-14",NULL,"2026-04-24 22:09:13.186774"
61,42,5,"active","annual","2025-09-10",NULL,49.17,0.00,"2025-09-24",NULL,"2026-04-24 22:09:13.186774"
62,43,5,"cancelled","annual","2025-04-25","2025-07-29",49.17,0.00,"2025-05-09","Company reorganization","2026-04-24 22:09:13.186774"
63,43,4,"expired","monthly","2025-07-29","2025-10-28",33.15,15.00,NULL,"Missing features","2026-04-24 22:09:13.186774"
64,43,1,"active","monthly","2025-10-28",NULL,0.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
65,44,6,"expired","annual","2025-03-27","2025-10-06",82.50,0.00,"2025-04-10","Too expensive","2026-04-24 22:09:13.186774"
66,44,1,"active","monthly","2025-10-06",NULL,0.00,25.00,NULL,NULL,"2026-04-24 22:09:13.186774"
67,45,1,"active","monthly","2024-05-17",NULL,0.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
68,46,1,"active","annual","2024-12-20",NULL,0.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
69,47,4,"expired","annual","2024-06-21","2025-02-18",32.50,0.00,"2024-07-05","Budget cuts","2026-04-24 22:09:13.186774"
70,47,3,"active","monthly","2025-02-18",NULL,19.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
71,48,3,"expired","monthly","2025-08-24","2025-10-28",19.00,0.00,"2025-09-07",NULL,"2026-04-24 22:09:13.186774"
72,48,2,"cancelled","monthly","2025-10-28","2025-12-28",12.00,0.00,NULL,"Missing features","2026-04-24 22:09:13.186774"
73,48,6,"cancelled","annual","2025-12-28","2025-10-29",70.12,15.00,NULL,"Missing features","2026-04-24 22:09:13.186774"
74,49,1,"active","monthly","2024-10-06",NULL,0.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
75,50,1,"expired","monthly","2024-08-25","2024-11-07",0.00,0.00,NULL,"Not using it","2026-04-24 22:09:13.186774"
76,50,2,"expired","monthly","2024-11-07","2025-04-03",12.00,0.00,NULL,"Budget cuts","2026-04-24 22:09:13.186774"
77,50,1,"active","annual","2025-04-03",NULL,0.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
78,51,3,"active","annual","2024-12-06",NULL,15.83,0.00,"2024-12-20",NULL,"2026-04-24 22:09:13.186774"
79,52,1,"cancelled","annual","2024-10-25","2025-03-07",0.00,25.00,NULL,"Missing features","2026-04-24 22:09:13.186774"
80,53,3,"expired","annual","2024-05-20","2024-12-20",15.83,0.00,"2024-06-03",NULL,"2026-04-24 22:09:13.186774"
81,53,1,"active","annual","2024-12-20",NULL,0.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
82,54,1,"active","monthly","2025-02-20",NULL,0.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
83,55,2,"cancelled","monthly","2023-12-04","2024-05-31",10.80,10.00,"2023-12-18","Too expensive","2026-04-24 22:09:13.186774"
84,55,4,"active","monthly","2024-05-31",NULL,31.20,20.00,NULL,NULL,"2026-04-24 22:09:13.186774"
85,56,2,"expired","annual","2024-07-09","2025-03-08",10.00,0.00,"2024-07-23","Switched competitor","2026-04-24 22:09:13.186774"
86,56,5,"active","monthly","2025-03-08",NULL,59.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
87,57,4,"active","annual","2024-10-07",NULL,32.50,0.00,"2024-10-21",NULL,"2026-04-24 22:09:13.186774"
88,58,3,"active","monthly","2025-09-30",NULL,19.00,0.00,"2025-10-14",NULL,"2026-04-24 22:09:13.186774"
89,59,2,"active","monthly","2023-01-03",NULL,12.00,0.00,"2023-01-17",NULL,"2026-04-24 22:09:13.186774"
90,60,1,"cancelled","annual","2023-09-02","2024-08-08",0.00,0.00,NULL,"Switched competitor","2026-04-24 22:09:13.186774"
91,60,5,"active","monthly","2024-08-08",NULL,59.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
92,61,1,"cancelled","monthly","2023-02-07","2025-09-10",0.00,0.00,NULL,"Switched competitor","2026-04-24 22:09:13.186774"
93,62,3,"cancelled","monthly","2024-12-10","2025-08-24",19.00,0.00,"2024-12-24","Company reorganization","2026-04-24 22:09:13.186774"
94,62,3,"active","monthly","2025-08-24",NULL,16.15,15.00,NULL,NULL,"2026-04-24 22:09:13.186774"
95,63,1,"cancelled","annual","2025-02-03","2025-06-29",0.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
96,63,4,"cancelled","monthly","2025-06-29","2025-04-12",39.00,0.00,NULL,"Switched competitor","2026-04-24 22:09:13.186774"
97,64,2,"active","annual","2024-06-27",NULL,10.00,0.00,"2024-07-11",NULL,"2026-04-24 22:09:13.186774"
98,65,1,"active","annual","2023-01-10",NULL,0.00,15.00,NULL,NULL,"2026-04-24 22:09:13.186774"
99,66,1,"active","monthly","2025-05-23",NULL,0.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
100,67,1,"active","monthly","2025-05-02",NULL,0.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
101,68,6,"cancelled","annual","2024-03-27","2025-02-03",82.50,0.00,"2024-04-10","Budget cuts","2026-04-24 22:09:13.186774"
102,69,1,"active","annual","2023-10-30",NULL,0.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
103,70,1,"expired","monthly","2024-02-09","2024-12-20",0.00,0.00,NULL,"Switched competitor","2026-04-24 22:09:13.186774"
104,70,4,"cancelled","monthly","2024-12-20","2025-04-30",39.00,0.00,NULL,"Company reorganization","2026-04-24 22:09:13.186774"
105,71,5,"cancelled","monthly","2024-09-16","2025-08-02",59.00,0.00,"2024-09-30","Budget cuts","2026-04-24 22:09:13.186774"
106,71,7,"active","monthly","2025-08-02",NULL,199.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
107,72,1,"expired","monthly","2025-08-30","2025-10-30",0.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
108,72,2,"active","monthly","2025-10-30",NULL,12.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
109,73,2,"active","monthly","2024-01-15",NULL,9.60,20.00,"2024-01-29",NULL,"2026-04-24 22:09:13.186774"
110,74,3,"active","annual","2023-08-06",NULL,15.83,0.00,"2023-08-20",NULL,"2026-04-24 22:09:13.186774"
111,75,1,"cancelled","monthly","2024-09-02","2025-01-22",0.00,0.00,NULL,"Missing features","2026-04-24 22:09:13.186774"
112,76,3,"expired","annual","2023-03-07","2023-10-21",15.83,0.00,"2023-03-21","Switched competitor","2026-04-24 22:09:13.186774"
113,76,2,"active","annual","2023-10-21",NULL,10.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
114,77,4,"cancelled","monthly","2025-05-17","2025-08-02",39.00,0.00,"2025-05-31","Too expensive","2026-04-24 22:09:13.186774"
115,77,4,"active","monthly","2025-08-02",NULL,39.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
116,78,5,"active","monthly","2024-09-11",NULL,59.00,0.00,"2024-09-25",NULL,"2026-04-24 22:09:13.186774"
117,79,4,"cancelled","annual","2025-01-17","2025-07-31",32.50,0.00,"2025-01-31","Company reorganization","2026-04-24 22:09:13.186774"
118,80,5,"active","monthly","2024-08-23",NULL,59.00,0.00,"2024-09-06",NULL,"2026-04-24 22:09:13.186774"
119,81,4,"expired","annual","2023-06-08","2023-12-15",27.62,15.00,"2023-06-22","Budget cuts","2026-04-24 22:09:13.186774"
120,81,5,"active","monthly","2023-12-15",NULL,47.20,20.00,NULL,NULL,"2026-04-24 22:09:13.186774"
121,82,4,"active","monthly","2023-10-07",NULL,39.00,0.00,"2023-10-21",NULL,"2026-04-24 22:09:13.186774"
122,83,1,"active","monthly","2024-03-05",NULL,0.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
123,84,1,"active","monthly","2024-03-10",NULL,0.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
124,85,1,"active","monthly","2023-07-29",NULL,0.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
125,86,4,"active","monthly","2025-06-01",NULL,35.10,10.00,"2025-06-15",NULL,"2026-04-24 22:09:13.186774"
126,87,4,"cancelled","monthly","2024-09-24","2025-08-02",39.00,0.00,"2024-10-08","Missing features","2026-04-24 22:09:13.186774"
127,87,2,"active","monthly","2025-08-02",NULL,12.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
128,88,1,"cancelled","annual","2025-03-08","2025-10-22",0.00,0.00,NULL,"Not using it","2026-04-24 22:09:13.186774"
129,89,6,"active","annual","2025-02-16",NULL,61.88,25.00,"2025-03-02",NULL,"2026-04-24 22:09:13.186774"
130,90,3,"active","monthly","2023-03-11",NULL,19.00,0.00,"2023-03-25",NULL,"2026-04-24 22:09:13.186774"
131,91,4,"expired","monthly","2025-09-27","2025-11-27",39.00,0.00,"2025-10-11","Budget cuts","2026-04-24 22:09:13.186774"
132,91,3,"active","monthly","2025-11-27",NULL,19.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
133,92,5,"cancelled","annual","2023-06-04","2023-09-26",49.17,0.00,"2023-06-18","Too expensive","2026-04-24 22:09:13.186774"
134,92,1,"active","annual","2023-09-26",NULL,0.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
135,93,4,"active","monthly","2024-01-17",NULL,39.00,0.00,"2024-01-31",NULL,"2026-04-24 22:09:13.186774"
136,94,1,"cancelled","monthly","2023-12-08","2025-06-05",0.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
137,95,4,"expired","annual","2024-11-17","2025-06-29",32.50,0.00,"2024-12-01","Company reorganization","2026-04-24 22:09:13.186774"
138,95,3,"cancelled","monthly","2025-06-29","2025-10-20",19.00,0.00,NULL,"Switched competitor","2026-04-24 22:09:13.186774"
139,95,5,"active","annual","2025-10-20",NULL,49.17,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
140,96,2,"expired","monthly","2023-05-21","2024-05-12",12.00,0.00,"2023-06-04","Too expensive","2026-04-24 22:09:13.186774"
141,96,6,"cancelled","monthly","2024-05-12","2024-09-21",99.00,0.00,NULL,"Switched competitor","2026-04-24 22:09:13.186774"
142,97,2,"active","monthly","2023-06-19",NULL,10.80,10.00,"2023-07-03",NULL,"2026-04-24 22:09:13.186774"
143,98,2,"expired","annual","2025-08-27","2025-10-30",10.00,0.00,"2025-09-10","Company reorganization","2026-04-24 22:09:13.186774"
144,98,3,"active","annual","2025-10-30",NULL,15.83,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
145,99,1,"expired","monthly","2024-07-21","2025-03-17",0.00,0.00,NULL,"Budget cuts","2026-04-24 22:09:13.186774"
146,99,3,"active","monthly","2025-03-17",NULL,19.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
147,100,2,"active","monthly","2025-06-24",NULL,12.00,0.00,"2025-07-08",NULL,"2026-04-24 22:09:13.186774"
148,101,1,"active","annual","2023-10-21",NULL,0.00,0.00,NULL,NULL,"2026-04-24 22:09:13.186774"
